station_id;fecha_hora;temp_promedio_aire;precipitacion_horaria;humed_rel_promedio;presion_atmosferica;radiacion_solar_max;veloc_max_viento;temp_minima;temp_maxima;direccion_del_viento;grados_dia;horas_frio
32;2021-01-01T03:00:00Z;12,0;0,0;91,0;1012,9;0;0,0;11,8;12,2;242;NA;NA
32;2021-01-01T04:00:00Z;11,8;0,0;91,8;1012,9;0;0,0;11,7;12,0;242;NA;NA
32;2021-01-01T05:00:00Z;11,8;0,0;92,0;1014,1;0;0,0;11,6;11,9;242;NA;NA
32;2021-01-01T06:00:00Z;11,0;0,0;92,0;1014,9;5;0,0;10,9;11,2;242;NA;NA
32;2021-01-01T07:00:00Z;11,0;0,0;94,0;1016,5;42;0,4;10,6;11,8;282;NA;NA
32;2021-01-01T08:00:00Z;13,5;0,0;95,5;1017,6;197;0,4;12,7;14,4;287;NA;NA
32;2021-01-01T09:00:00Z;15,9;0,0;88,2;1018,5;232;1,3;15,2;16,5;289;NA;NA
32;2021-01-01T10:00:00Z;18,5;0,0;78,0;1018,5;835;3,6;17,1;19,2;311;NA;NA
32;2021-01-01T11:00:00Z;20,9;0,0;69,5;1018,5;867;2,2;20,3;21,2;318;NA;NA
32;2021-01-01T12:00:00Z;22,4;0,0;65,2;1017,9;970;2,7;21,6;23,1;322;NA;NA
32;2021-01-01T13:00:00Z;23,8;0,0;61,0;1017,4;998;3,6;23,3;24,3;339;NA;NA
32;2021-01-01T14:00:00Z;25,6;0,0;56,0;1016,9;995;1,8;25,1;26,3;304;NA;NA
32;2021-01-01T15:00:00Z;26,6;0,0;51,8;1016,5;947;3,1;26,4;26,8;310;NA;NA
32;2021-01-01T16:00:00Z;26,5;0,0;51,2;1015,9;831;1,8;26,3;26,8;317;NA;NA
32;2021-01-01T17:00:00Z;25,9;0,0;52,8;1015,1;673;3,1;24,4;26,7;319;NA;NA
32;2021-01-01T18:00:00Z;23,0;0,0;60,2;1014,9;476;3,6;22,1;24,0;310;NA;NA
32;2021-01-01T19:00:00Z;20,7;0,0;68,0;1015,0;267;3,1;19,4;21,7;307;NA;NA
32;2021-01-01T20:00:00Z;18,2;0,0;76,3;1015,3;35;0,9;17,7;18,7;299;NA;NA
32;2021-01-01T21:00:00Z;16,1;0,0;83,8;1015,8;0;0,9;15,6;16,8;245;NA;NA
32;2021-01-01T22:00:00Z;14,8;0,0;87,5;1015,9;0;0,0;14,3;15,2;245;NA;NA
32;2021-01-01T23:00:00Z;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;2021-01-02T00:00:00Z;13,0;0,0;91,5;1016,2;0;0,0;12,8;13,2;245;705,70;NA
32;2021-01-02T01:00:00Z;12,6;0,0;93,0;1015,9;0;0,0;12,3;12,8;245;NA;NA
32;2021-01-02T02:00:00Z;12,0;0,0;93,5;1015,5;0;0,0;11,9;12,3;245;NA;NA
32;2021-01-02T03:00:00Z;12,1;0,0;94,8;1015,6;0;0,0;11,7;12,7;245;NA;NA
32;2021-01-02T04:00:00Z;13,4;0,0;96,0;1015,7;0;0,0;13,2;13,7;245;NA;NA
32;2021-01-02T05:00:00Z;14,0;0,0;95,0;1015,8;0;0,4;13,9;14,1;257;NA;NA
32;2021-01-02T06:00:00Z;14,2;0,0;94,8;1016,2;0;0,9;14,2;14,2;257;NA;NA
32;2021-01-02T07:00:00Z;14,2;0,0;93,8;1016,9;19;0,4;14,2;14,3;290;NA;NA
32;2021-01-02T08:00:00Z;14,5;0,0;92,5;1017,5;51;0,0;14,4;14,7;290;NA;NA
32;2021-01-02T09:00:00Z;15,1;0,0;91,0;1017,7;95;0,4;14,8;15,4;358;NA;NA
32;2021-01-02T10:00:00Z;15,7;0,0;88,8;1017,9;156;0,9;15,4;16,0;356;NA;NA
32;2021-01-02T11:00:00Z;16,7;0,0;86,5;1018,3;543;0,9;16,0;17,7;304;NA;NA
32;2021-01-02T12:00:00Z;19,8;0,0;77,2;1018,2;1079;2,7;18,4;21,1;285;NA;NA
32;2021-01-02T13:00:00Z;21,5;0,0;71,2;1018,3;1009;3,1;21,2;21,8;303;NA;NA
32;2021-01-02T14:00:00Z;22,7;0,0;68,5;1017,8;988;4,0;22,2;23,4;317;NA;NA
32;2021-01-02T15:00:00Z;24,5;0,0;62,2;1017,5;949;1,8;23,8;25,0;297;NA;NA
32;2021-01-02T16:00:00Z;24,6;0,0;60,5;1017,4;846;2,2;24,2;25,1;329;NA;NA
32;2021-01-02T17:00:00Z;24,1;0,0;60,8;1017,1;693;3,1;23,7;24,6;335;NA;NA
32;2021-01-02T18:00:00Z;23,3;0,0;63,0;1016,7;504;3,1;22,8;23,8;333;NA;NA
32;2021-01-02T19:00:00Z;21,3;0,0;68,2;1016,9;294;2,2;20,1;22,3;296;NA;NA
32;2021-01-02T20:00:00Z;17,9;0,0;78,0;1017,4;37;0,9;16,9;18,9;321;NA;NA
32;2021-01-02T21:00:00Z;15,8;0,0;84,2;1018,0;0;0,9;15,3;16,4;289;NA;NA
32;2021-01-02T22:00:00Z;14,5;0,0;88,2;1018,5;0;0,0;14,1;14,9;217;NA;NA
32;2021-01-02T23:00:00Z;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;2021-01-03T00:00:00Z;13,2;0,0;92,2;1017,9;0;0,0;12,9;13,5;217;714,00;NA
32;2021-01-03T01:00:00Z;12,3;0,0;92,8;1017,1;0;0,0;11,9;12,7;217;NA;NA
