"";"ema";"institucion";"nombre_ema";"comuna";"region";"latitud";"longitud";"fecha_de_alta"
"1";1;"FDF";"Azapa1";"Arica";"Arica y Parinacota";-18,509638889;-70,248055554;2013-03-08 06:49:10
"2";2;"FDF";"Azapa2";"Arica";"Arica y Parinacota";-18,520444444;-70,232666667;2013-03-08 06:49:10
"3";3;"FDF";"Tranque Lautaro";"Tierra Amarilla";"Atacama";-27,975583333;-70;2013-03-08 06:49:12
"4";4;"FDF";"Jotabeche";"Tierra Amarilla";"Atacama";-27,588611111;-70,244722222;2013-03-08 06:49:12
"5";5;"FDF";"Hornitos";"Tierra Amarilla";"Atacama";-27,728888889;-70,196666667;2013-03-08 06:49:12
"6";6;"FDF";"Copiapo";"Copiapó";"Atacama";-27,345833333;-70,407777778;2013-03-08 06:49:11
"7";7;"FDF";"Bodega";"Copiapó";"Atacama";-27,343611111;-70,372777778;2013-03-08 06:49:11
"8";8;"FDF";"Vallenar";"Freirina";"Atacama";-28,526305556;-70,943083333;2013-03-08 06:49:11
"9";9;"FDF";"Alto del Carmen";"Alto del Carmen";"Atacama";-28,768166667;-70,449222222;2013-03-08 06:49:10
"10";10;"FDF";"El Palqui";"Monte Patria";"Coquimbo";-30,746388889;-70,936944444;2013-03-08 06:49:11
"11";11;"FDF";"Vicuña";"Vicuña";"Coquimbo";-30,038333333;-70,696666667;2013-03-08 06:49:12
"12";12;"FDF";"Paihuano";"Paiguano";"Coquimbo";-30,046944444;-70,510833333;2013-03-08 06:49:11
"13";13;"FDF";"Recoleta";"Ovalle";"Coquimbo";-30,490916667;-71,165777778;2013-03-08 06:49:11
"14";14;"FDF";"San Julián";"Ovalle";"Coquimbo";-30,655277778;-71,318888889;2013-03-08 06:49:11
"15";15;"FDF";"Monte Patria";"Monte Patria";"Coquimbo";-30,682222222;-70,939444444;2013-03-08 06:49:11
"16";16;"FDF";"Combarbalá";"Combarbalá";"Coquimbo";-31,188333333;-70,998888889;2013-03-08 06:49:11
"17";17;"FDF";"Punitaqui";"Punitaqui";"Coquimbo";-30,78;-71,256111111;2013-03-08 06:49:12
"18";18;"FDF";"Illapel";"Illapel";"Coquimbo";-31,731055556;-71,205555556;2013-03-08 06:49:11
"19";19;"FDF";"Salamanca";"Salamanca";"Coquimbo";-31,787388889;-70,959611111;2013-03-08 06:49:12
"20";20;"FDF";"Cabildo";"Cabildo";"Valparaíso";-32,362194444;-70,819722222;2013-03-08 06:49:10
"21";21;"FDF";"Petorca";"Cabildo";"Valparaíso";-32,396666667;-71,029444444;2013-03-08 06:49:10
"22";22;"FDF";"SAN ESTEBAN";"San Esteban";"Valparaíso";-32,750444444;-70,557583333;2013-03-08 06:49:12
"23";24;"FDF";"Calle Larga";"Calle Larga";"Valparaíso";-32,870555556;-70,646111111;2013-03-08 06:49:10
"24";25;"FDF";"Rinconada";"Rinconada";"Valparaíso";-32,837055556;-70,692527778;2013-03-08 06:49:12
"25";26;"FDF";"San Felipe";"San Felipe";"Valparaíso";-32,755333;-70,706917;2013-03-08 06:49:12
"26";27;"FDF";"Putaendo";"Putaendo";"Valparaíso";-32,593694444;-70,726111111;2013-03-08 06:49:12
"27";28;"FDF";"Santa María";"Santa María";"Valparaíso";-32,749166667;-70,660277778;2013-03-08 06:49:12
"28";29;"FDF";"Panquehue";"Panquehue";"Valparaíso";-32,756638889;-70,808833333;2013-03-08 06:49:11
"29";30;"FDF";"Llayllay";"Llaillay";"Valparaíso";-32,903333333;-70,950555556;2013-03-08 06:49:11
"30";31;"FDF";"Catemu";"Catemu";"Valparaíso";-32,757777778;-70,942777778;2013-03-08 06:49:11
"31";32;"FDF";"Quillota";"Quillota";"Valparaíso";-32,892388889;-71,206722222;2013-03-08 06:49:12
"32";33;"FDF";"La Cruz";"La Cruz";"Valparaíso";-32,8;-71,2;2013-03-08 06:49:11
"33";34;"FDF";"Nogales";"Nogales";"Valparaíso";-32,736388889;-71,199166667;2013-03-08 06:49:11
"34";35;"FDF";"Hijuelas";"Hijuelas";"Valparaíso";-32,847944444;-71,067083333;2013-03-08 06:49:11
"35";36;"FDF";"Limache";"Limache";"Valparaíso";-32,994444444;-71,260666667;2013-03-08 06:49:11
"36";37;"FDF";"Olmué";"Olmué";"Valparaíso";-33,021944444;-71,186388889;2013-03-08 06:49:11
"37";38;"FDF";"Casablanca";"Casablanca";"Valparaíso";-33,320833333;-71,437222222;2013-03-08 06:49:11
"38";39;"FDF";"San Diego";"Melipilla";"Metropolitana";-33,703027778;-71,371861111;2013-03-08 06:49:11
"39";40;"FDF";"HUECHÚN EX Lampa";"Tiltil";"Metropolitana";-33,077222222;-70,752777778;2013-03-08 06:49:11
"40";41;"FDF";"Til til";"Tiltil";"Metropolitana";-33,121333333;-70,834777778;2013-03-08 06:49:12
